,title,directors,actors,genres
0,Dick Johnson Is Dead,['Kirsten Johnson'],,['Documentaries']
6,My Little Pony: A New Generation,"['Robert Cullen', ' José Luis Ucha']","['Vanessa Hudgens', ' Kimiko Glenn', ' James Marsden', ' Sofia Carson', ' Liza Koshy', ' Ken Jeong', ' Elizabeth Perkins', ' Jane Krakowski', ' Michael McKean', ' Phil LaMarr']",['Children & Family Movies']
7,Sankofa,['Haile Gerima'],"['Kofi Ghanaba', ' Oyafunmike Ogunlano', ' Alexandra Duah', ' Nick Medley', ' Mutabaruka', ' Afemo Omilami', ' Reggie Carter', ' Mzuri']","['Dramas', ' Independent Movies', ' International Movies']"
9,The Starling,['Theodore Melfi'],"['Melissa McCarthy', "" Chris O'Dowd"", ' Kevin Kline', ' Timothy Olyphant', ' Daveed Diggs', ' Skyler Gisondo', ' Laura Harrier', ' Rosalind Chao', ' Kimberly Quinn', ' Loretta Devine', ' Ravi Kapoor']","['Comedies', ' Dramas']"
12,Je Suis Karl,['Christian Schwochow'],"['Luna Wedler', ' Jannis Niewöhner', ' Milan Peschel', ' Edin Hasanović', ' Anna Fialová', ' Marlon Boess', ' Victor Boccard', ' Fleur Geffrier', ' Aziz Dyab', ' Mélanie Fouché', ' Elizaveta Maximová']","['Dramas', ' International Movies']"
13,Confessions of an Invisible Girl,['Bruno Garotti'],"['Klara Castanho', ' Lucca Picon', ' Júlia Gomes', ' Marcus Bessa', ' Kiria Malheiros', ' Fernanda Concon', ' Gabriel Lima', ' Caio Cabral', ' Leonardo Cidade', ' Jade Cardozo']","['Children & Family Movies', ' Comedies']"
16,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"['Pedro de Echave García', ' Pablo Azorín Williams']",,"['Documentaries', ' International Movies']"
18,Intrusion,['Adam Salky'],"['Freida Pinto', ' Logan Marshall-Green', ' Robert John Burke', ' Megan Elisabeth Kelly', ' Sarah Minnich', ' Hayes Hargrove', ' Mark Sivertsen', ' Brandon Fierro', ' Antonio Valles', ' Clint Obenchain']",['Thrillers']
22,Avvai Shanmughi,['K.S. Ravikumar'],"['Kamal Hassan', ' Meena', ' Gemini Ganesan', ' Heera Rajgopal', ' Nassar', ' S.P. Balasubrahmanyam']","['Comedies', ' International Movies']"
23,Go! Go! Cory Carson: Chrissy Takes the Wheel,"['Alex Woo', ' Stanley Moore']","['Maisie Benson', ' Paul Killam', ' Kerry Gudjohnsen', ' AC Lim']",['Children & Family Movies']
